#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bd3 13  - caudal even-skipped bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - cad, channel 2 - eve, channel 3 - bcd>
390 38.56 18.53 74.22 71.42 58.23
391 38.38 41.33 80.60 74.31 73.47
392 38.39 91.33 22.62 17.81 12.04
393 38.46 79.74 66.04 64.39 68.48
394 38.67 22.19 81.48 80.40 67.98
395 38.24 47.38 68.56 64.37 56.19
396 38.52 56.65 77.42 74.12 77.64
397 38.59 69.13 75.16 73.92 80.11
398 38.27 4.84 10.88 6.59 4.55
399 38.33 6.69 12.64 8.85 3.72
400 39.08 84.65 61.22 58.43 55.45
401 39.05 73.42 75.56 76.44 74.82
402 39.21 7.49 19.20 15.98 8.72
403 39.17 11.13 45.27 38.87 23.32
404 38.71 94.13 11.51 6.48 4.23
405 39.28 88.67 49.12 41.10 32.20
406 39.23 15.57 84.06 83.32 61.08
407 39.47 35.09 76.11 73.04 63.97
408 39.43 26.20 75.56 72.88 63.75
409 39.67 76.61 73.36 65.56 71.29
410 39.22 4.40 9.56 6.99 4.01
411 39.82 50.12 82.34 76.41 70.18
412 39.38 53.23 49.45 32.04 26.63
413 39.79 40.81 83.13 72.87 67.65
414 39.91 66.83 73.87 65.63 70.98
415 39.94 46.67 86.89 82.18 79.52
416 39.82 31.06 81.08 78.59 67.35
417 39.92 58.61 84.92 79.78 77.29
418 39.74 94.37 14.24 8.28 6.61
419 40.11 92.94 16.43 10.99 6.54
420 39.33 42.63 45.00 35.00 44.00
421 40.10 80.30 75.00 69.51 68.55
422 40.35 70.71 75.28 72.29 72.11
423 40.56 55.24 84.77 75.85 73.91
424 40.10 5.29 11.67 8.53 4.77
425 40.35 21.40 88.31 83.09 65.02
426 40.56 38.41 90.12 81.23 71.92
427 40.52 61.86 77.58 63.97 68.67
428 40.69 14.21 75.53 66.01 43.77
429 40.71 8.29 28.90 22.88 12.85
430 40.82 83.51 75.68 66.80 65.53
431 40.91 17.95 88.98 88.32 62.87
432 40.94 90.48 38.04 26.88 19.64
433 41.09 86.67 59.54 47.70 44.88
434 40.89 27.26 85.15 77.76 60.18
435 41.13 44.04 82.77 76.00 65.97
436 41.08 64.92 86.04 76.84 77.29
437 41.18 73.86 73.98 65.93 65.82
438 40.96 96.27 8.93 5.63 3.21
439 41.47 23.73 102.26 94.18 70.00
440 41.44 52.31 89.84 76.94 71.52
441 41.30 32.12 83.66 80.82 61.13
442 41.33 4.90 12.08 7.35 4.83
443 41.50 35.80 80.55 65.62 54.30
444 41.54 77.58 81.10 73.87 73.31
445 42.12 67.94 73.31 60.68 60.13
446 41.83 48.14 88.68 76.28 62.57
447 41.45 93.87 15.23 10.25 6.31
448 42.04 11.20 69.15 51.42 30.92
449 41.87 58.02 86.00 65.10 64.24
450 42.20 41.06 85.16 72.93 62.05
451 42.16 80.60 72.63 59.96 56.58
452 42.17 20.95 94.80 94.15 47.35
453 42.41 6.08 15.96 10.36 5.61
454 42.51 28.98 90.11 80.57 61.57
455 42.27 37.94 76.49 70.43 53.00
456 42.34 62.95 87.43 70.82 66.69
457 42.52 8.62 38.16 29.87 14.84
458 42.76 15.11 81.03 70.42 45.72
459 42.28 96.02 10.40 6.05 4.05
460 42.71 71.19 87.65 70.59 72.42
461 42.79 25.57 94.60 86.07 61.49
462 42.62 90.23 46.18 30.62 22.80
463 42.65 18.20 100.84 85.27 58.01
464 42.94 83.36 81.55 66.21 59.11
465 42.50 93.35 16.71 10.48 7.58
466 42.74 75.07 79.83 61.39 60.62
467 42.96 86.79 70.10 52.38 47.04
468 42.91 3.42 9.06 6.52 2.59
469 43.23 51.68 85.78 68.91 61.13
470 43.33 35.63 88.86 74.64 56.57
471 43.04 45.22 90.50 72.10 60.12
472 43.27 54.96 87.59 72.04 61.62
473 43.19 32.26 89.90 74.90 57.39
